影	picture/image/reflection/shadow	yǐng
瞑	close the eyes	míng
瘀	hematoma/contusion/extravasted	yū
鹳	crane/stork	guàn
煜	brilliant/glorious	yù
茗	Thea sinensis/young leaves of tea	míng
獗	unruly/rude	jué
啜	drink/taste/sip/suck	chuò
辘	windlass	lù
卯	4th earthly branch/5-7 a.m.	mǎo
颔	chin/nod assent	hàn
莓	strawberry	méi
忑	nervous	tè
枭	brave/owl/strix uralensis	xiāo
椰		yē
罔	deceive/there is none	wǎng
煦		xù
撅	break off/stick up (as a tail)	juē
涣	disperse expansive (of river)	huàn
蔷	wild rose	qiáng
壑	gully	hè
町	raised path between fields	tǐng/dīng
榕	banyan tree/Ficus wightiana	róng
芮	(surname)/small	ruì
岐	divergent/side road/steep	qí
锰	manganese	měng
攥		zuàn
涝	flooded	lào
卅	thirty	sà
焙	to dry over a fire/to bake	bèi
戌	11th earthly branch/7-9 p.m.	xū
蟾	moon/(striped) toad	chán
缰		jiāng
眈	gaze intently	dān
琏		liǎn
暄	genial and warm	xuān
腌	to salt/pickle	yān
恚	rage	huì
靼	(phonetic)/dressed leather	dá
睽	separated/stare	kuí
穑	gather in harvest	sè
猓		guǒ
疱		pào
鳃	gills of fish	sāi
桀	(emperor of Xia dynasty)/cruel	jié
黔	an old name for Guizhou (贵州) province	qián
飙	whirlwind	biāo
呸	to spit (in contempt)	pēi
阂	obstruct	hé
祯	auspicious/lucky	zhēn
瘸	lame	qué
镀	Err:508	dù
恣	throw off restraint	zì
醺	helplessly intoxicated	xūn
蛰	hibernate, hibernate	zhé/zhí
篓	deep basket	lǒu
傣	the Dai minority living in South China	dǎi
羹	soup	gēng
绛	purple-red	jiàng
簌	dense vegetation/sieve	sù
酉	10th earthly branch/5-7 p.m.	yǒu
绶	cord on a seal	shòu
涟	ripple/tearful	lián
經		jīng
銮	imperial	luán
徨	irresolute	huáng
闾	gate of a village/village	lǘ/lǘ
徇	buried with dead/die for a cause, follow/quick	xùn
盅	cup	zhōng
斓	variegated/parti-colored	lán
黠	(phonetic)/crafty	xiá
蹂	trample	róu
棣	Kerria japonica	dì
畹	a field of 20 or 30 mu	wǎn
濑	name of a river/rushing of water	lài
甄	(surname)/to mold	zhēn
翟	long-tail pheasant, (surname)	dí/zhái
抡	whirl (one's arm), select	lūn/lún
殡	a funeral/to encoffin a corpse/to carry to burial	bìn
洄	eddy/whirlpool	huí
亘	extend across/through	gèn
焊	welding, to solder/weld by heat	hàn
抠	dig out (with finger)/stingy	kōu
蛐	cricket	qū
蕙	Coumarouna odorata	huì
靳	(surname)/martingale/stingy	jìn
嗫	move the mouth as in speaking	niè
傀	grand/strange/exotic, puppet	guī/kuǐ
镯	bracelet	zhuó
寰	large domain	huán
湃	sound of waves	pài
淇	name of a river	qí
蟆	toad, toad	má/ma
楣	lintel	méi
辎	milit. supply	zī
璞	unpolished gem	pú
婊	prostitute	biǎo
蝌	tadpole	kē
踊	leap	yǒng
鞑	Tartar/a tribe in China	dá
呗	to chant	bài/bei
飓	hurricane	jù
欤	(interrog. part.)	yú
踝	ankle (bone)	huái
泞	muddy	nìng
砥	baffle (pier)/whetstone	dǐ
涓	(surname)/brook/to select	juān
昵	familiar/to approach	nì
铿	jingling of metals/to strike	kēng
樟	camphor/Cinnamonum camphara	zhāng
瞌	doze off/sleepy	kē
谙	be versed in/know well	ān
偃	(surname)/to lie supine/to stop/to fall down	yǎn
窿	cavity/hole	lóng
淙	noise of water	cóng
苓	fungus/tuber	líng
胫	lower part of leg	jìng
隼		sǔn
蓓	(flower) bud	bèi
闩	to bolt	shuān
坂		bǎn
噤	unable to speak/silent	jìn
斡	to turn	wò
屹	high and steep	yì
彤	(surname)/red	tóng
肽	peptide	tài
噫	(interj. of approval)/belch	yī
貂	sable/marten	diāo
晁	(surname)	cháo
芋	Colocasia antiquorum	yù
飧	supper	sūn
澹	tranquil/placid/quiet, (surname)	dàn/tán
绺	skein/tuft/lock	liǔ
犄	ox-horns/wing of an army	jī
泗	place name/snivel	sì
庠	asylum for the aged/school	xiáng
橐	sack/tube for blowing fire	tuó
蛳	snail	sī
滦	name of a river	luán
衢	thoroughfare	qú
燔	burn/to roast meat for sacrifice	fán
硼	boron	péng
柑	large tangerine	gān
膑	kneecap/patella	bìn
癜	erythema/leucoderm	diàn
邺	(surname)/name of ancient district	yè
柚	pomelo/shaddock	yòu
龢		hé
褴	ragged garments	lán
砷	arsenic	shēn
枸	Acgle sepiaria, Lycium chinense, Citrus medica	gōu/gǒu/jǔ
虻	Tabanus trigonus/house fly	méng
龊	dirty/small-minded	chuò
瑁	(jade)	mào
锏		jiǎn
龌	dirty/small-minded	wò
蚩	(surname)/ignorant/worm	chī
苻	Angelica anomala	fú
钜	great/hard iron	jù
偻	hunchback	lóu/lǚ
蹩	limp	bié
峪	valley	yù
臾	(surname)/a moment/little while	yú
歆	pleased/moved	xīn
僮	boy, name of an ethnic group in Guangxi	tóng/zhuàng
坳	a depression/cavity/hollow	ào
绻	bound in a league	quǎn
掬		jū
艮	a sign in trigram	gèn
囤	bin for grain, to store/hoard	dùn/tún
畿	territory around the capital	jī
鹫	black eagle/condor/cruel	jiù
夔	one-legged monster/respectful	kuí
榭	pavilion	xiè
氲	heavy atmosphere	yūn
蜴	chameleon/Eumeces latiscutatus	yì
赊	buy on credit	shē
谡	composed/rise/to begin	sù
癸	10th heavenly stem	guǐ
榷	footbridge/toll, levy/monopoly	què
诤		zhèng
辏	converge/hub of wheel	còu
扪	lay hands on/to cover	mén
愠	indignant/feel hurt	yùn
與		yǔ
鬃	bristles/horse's mane	zōng
昙	dark clouds	tán
栉		zhì
蛭	fluke/leech/hirudinea	zhì
烷	alkane	wán
蠡	calabash, wood-boring insect	lí/lǐ
嗝	hiccup/belch	gé
啮	gnaw	niè
熨	reconciled/smooth, an iron/to iron	yù/yùn
搽	apply (ointment, powder)/smear/paint on	chá
蜥	chameleon/Eumeces latiscutatus	xī
腴	fat on belly/fertile/rich	yú
诋	defame/to slander	dǐ
遛	to stroll/walk a horse/to linger	liù/liú
詈	curse/scold	lì
鹭	heron	lù
纭	confused/numerous	yún
榉	Zeikowa acuminata	jǔ
缜	fine and close	zhěn
剽	to rob/swift/nimble	piāo
觊	covet/long for	jì
獭	otter	tǎ
槁	dry/rotten (as wood)	gǎo
摺	folded document/to fold	zhé
噙	hold in the mouth	qín
蛎	oyster	lì
杳	dark and quiet/disappear	yǎo
侗	(ethnic group), ignorant	dòng/tóng
苫	straw mat/thatch	shān
莘	long/numerous, Asarum sieboldi	shēn/xīn
夥	assistant/partner/many/great/numerous	huǒ
殒	perish/die	yǔn
峋	ranges of hills	xún
俦	comrades/friends/companions	chóu
妫	(surname)/name of a river	guī
鞯	saddle blanket	jiān
谝	brag	piǎn
芩	Phragmites japonica	qín
庋	a cupboard or pantry to store	guǐ
掇		duō
罂	earthen jar with small mouth	yīng
枞	abies firma	cōng
犷		guǎng
芪		qí
诳	deceive/lies	kuáng
赳		jiū
芍	Paeonia albiflora	sháo
垠	bank	yín
猥	humble/rustic/plentiful	wěi
柠	lemon	níng
窈	deep/quiet and elegant	yǎo
荤	meat dish	hūn
祉	felicity	zhǐ
铠	armor	kǎi
蝮	venomous snake	fù
孀	widow	shuāng
叁		sān
啐	sip/spit	cuì
摈	reject/expel/discard/exclude/renounce	bìn
啕	wail	táo
庑	veranda	wǔ
圩	dike	wéi/xū
谘	consult	zī
洹	name of a river	huán
娑	(phonetic)/loose	suō
讫	finished	qì
馑	time of famine or crop failure	jǐn
挞	flog/rapid	tà
粼	clear (as of water)	lín
隍	dry moat/god of city	huáng
蒿	wormwood	hāo
骛	fast/greedy/run rapidly	wù
殓	prepare body for coffin	liàn
矾	alum	fán
漕	transport by water/watercourse/canal	cáo
臧	(surname)/good/lucky	zāng
泾	name of a river	jīng
铡	lever-knife	zhá
弋	to shoot	yì
荭	herb	hóng
濂	name of a river in Hunan	lián
宸	imperial apartments	chén
睨	look askance	nì
雉	ringed pheasant	zhì
蟑	cockroach	zhāng
仄	oblique tone	zè
睢	(surname)/stare	suī
掰	to break with both hands	bāi
陽		yáng
钍	thorium	tǔ
狻	(mythical animal)	suān
淦	name of a river	gàn
纣	name of an emperor/saddle crupper	zhòu
體		tǐ
拄	post/prop	zhǔ
蚜	aphis	yá
馄	Chinese ravioli	hún
诒	a present in writing/bequeath	yí
觯	goblet	zhì
迨	catch/seize/until	dài
樽	goblet/bottle/wine-jar	zūn
怏	discontented	yàng
郏	name of a district in Henan	jiá
簦	large umbrella for stalls	dēng
舫	2 boats lashed together/large boat	fǎng
滢	clear/limpid (of water)	yíng
嘁	whispering sound	qī
視		shì
媾	to marry/to copulate	gòu
蜃	(mythical animal)/clam/sea-serpent	shèn
蛉	sandfly	líng
骈	literary style	pián
臃		yōng
缥	misty/indistinct	piǎo/piāo
囿	park/to limit/be limited to	yòu
蛆	maggot	qū
舀	to scoop	yǎo
龇	projecting teeth	zī
螨		mǎn
寮	Laos/fellow-official/hut	liáo
耄	aged	mào
藜	Chenopodium album	lí
孪	twins	luán
馗	cheekbone/crossroads/high	kuí
鄱	name of a lake	pó
袂	sleeve of a robe	mèi
嬴	full/profit/win	yíng
懑	melancholy	mèn
觥	big/cup made of horn/horn wine container	gōng
濡	dilatory/to moisten	rú
竦	horrified/incite/raise	sǒng
靓	make up (face)	jìng/liàng
滓	dregs/sediment	zǐ
瘁	care-worn/distressed/tired/overworked/sick/weary	cuì
馕		náng
沣	name of a river	fēng
胭	rouge	yān
粕	grains in distilled liquor	pò
醯	acyl	xī
湎	drunk	miǎn
獠	fierce/hunt/name of a tribe	liáo
啷		lāng
噼		pī
钰	hard metals	yù
饽	cake/biscuit	bō
瘙		sào
濮	name of a river	pú
昱	bright light	yù
俑	wooden figures buried with the dead	yǒng
汩	confused/extinguished	gǔ
垩	to whitewash/to plaster	è
娲	(surname)/sister of Fu2 Xi1	wā
镂	engrave/hard steel	lòu
笞	to whip with bamboo strips	chī
掸	brush away/dust off/a brush or duster/to dust	dǎn
椤		luó
咛	enjoin	níng
淅	sound of rain/sleet etc.	xī
佗	carry on the back	tuó
呓	talk in sleep	yì
琬	ensign of royalty	wǎn
胄	helmet, descendants	zhòu
痿	atrophy	wěi
俪	husband and wife	lì
缫	reel silk from cocoons	sāo
皎	bright/white	jiǎo
篆	seal characters	zhuàn
儆	warn/admonish	jǐng
箔	bamboo screen/door screen/metal foil/leaf/sheet/tinsel	bó
獾	badger	huān
瘴	malaria/miasma	zhàng
碴	fault/glass fragment/quarrel	chá
骧	prance (as a horse)	xiāng
杈	fork of a tree/pitchfork, branches of a tree/fork of a tree	chā/chà
崂	name of a mountain in Shandong	láo
莞	Skimmia japonica, (district), smile	guān/guǎn/wǎn
拮	antagonistic/laboring hard/pressed	jié
猬		wèi
氰		qíng
泓	clear/vast and deep	hóng
浜	stream/creek	bāng
郅	(surname)/extremely	zhì
匐	fall prostrate	fú
喟	to sigh	kuì
琥	amber	hǔ
沏	to steep (tea)	qī
璨	gem/luster of gem	càn
炀	molten/smelt	yáng
邂	meet unexpectedly	xiè
竑		hóng
戛	a lance/standing alone	jiá
祐		yòu
鲑		guī
颧	cheek bones	quán
暹	Siam	xiān
诮	ridicule/to blame	qiào
诜	inform/inquire	shēn
蓟	cirsium/thistle	jì
栾	Koelreuteria paniculata	luán
蠹	bookworm/Lepisma saccharina	dù
翊	assist/ready to fly/respect	yì
豺	ravenous beast/wolves (collect.)	chái
钛	titanium	tài
镣		liào
峒	name of a mountain	tóng/dòng
篝	bamboo frame for drying clothes	gōu
啵		bo
椽	beam/rafters	chuán
缈	indistinct	miǎo
饪	cooked food/cook until well done	rèn
荩	Arthraxon ciliare/loyal	jìn
踹	kick/trample	chuài
泯	obliterate/submerge	mǐn
蓑		suō
凇		sōng
沱	tearful/to branch (of river)	tuó
蟮		shàn
鳝	Chinese yellow eel	shàn
鸵	ostrich	tuó
霭	cloudy sky/friendly	ǎi
嗥	howl/bawl/to bark/roar	háo
剁	chop (meat)	duò
鲈	common perch	lú
喵	meow (onomat. for cat's mewing)	miāo
诿	shirk/give excuses	wěi
過		guò
钚		bù
揆	consider/estimate	kuí
蚱	grasshopper	zhà
咝		sī
埽	broom/dike	sào
饨	Chinese ravioli	tún
骁	brave/good horse/strong	xiāo
冽	cold and raw	liè
舐	to lick/lap	shì
苷		gān
箩	basket	luó
粑	tsamba (food in Tibet)	bā
琨	(jade)	kūn
伲		nì
荨		qián
墒		shāng
觎	passionately desire	yú
萱	Hemerocallis flava	xuān
鋈	Err:508	wù
饯	farewell dinner/preserves	jiàn
锨		xiān
麾	signal flag/to signal	huī
褛	soiled/tattered	lǚ/lǚ
鳅	loach	qiū
鹑	quail	chún
犟		jiàng
擢	pull out/select	zhuó
鸬	fishing cormorant	lú
蟠	Trichina spiralis/to coil	pán
弁	cap	biàn
埂	channel for irrigation	gěng
芷	(plant root used for medicine)	zhǐ
殁	to end/to die	mò
潞	(surname)/name of a river	lù
弈	Chinese chess game	yì
镍	nickel	niè
绾	bind up/string together	wǎn
榔	(tree)	láng
箴	warn	zhēn
嶙	ranges of hills	lín
罄	entirely/exhausted/stern	qìng
谗	slander/defame/misrepresent/to speak maliciously	chán
洌	pure/cleanse	liè
胯	thigh/leg	kuà
飒	declining/sound of wind	sà
砧	anvil	zhēn
涮	rinse	shuàn
忻	happy	xīn
啻	(not) just/(not) only	chì
榘		jǔ
卞	(surname)/hurried	biàn
咣		guāng
俚	rustic	lǐ
潢	dye paper/lake/pond/mount scroll	huáng
锟	steel sword	kūn
偈	Buddhist hymn/gatha/Buddhist verse, forceful/martial	jì/jié
箕	winnow basket	jī
蹶	stumble/trample/to kick (as a horse)	jué/juě
氐	name of an ancient tribe, foundation/on the whole	dī/dǐ
乩	to divine	jī
蕨	Pteridium aquilinum	jué
铛	frying pan/griddle, clank/clang/sound of metal	chēng/dāng
婀	graceful/willowy/unstable	ē
臊	smell of urine, bashfulness	sāo/sào
疸	jaundice	dǎn/da
夙	morning	sù
蜚	gad-fly	fěi/fēi
涿	place name	zhuō
恸	grief	tòng
篙	pole for punting boats	gāo
珞	neck-ornament	luò
夯	drive piles	hāng/bèn
晔	bright light/to sparkle	yè
汴	name of a river in Henan/Henan	biàn
榛	hazel tree/Corylus heterophylla	zhēn
逅	meet unexpectedly	hòu
摞	pile up	luò
荻	Anaphalis yedoensis	dí
铰	scissors/to cut (with scissors)	jiǎo
柩	bier	jiù
嘭		pēng
虬	young dragon with horns	qiú
谔	honest speech	è
孛	comet	bèi/bó
筠	skin of bamboo	yún/jūn
迩	near	ěr
幺		yāo
咻	call out/jeer	xiū
憩	to rest	qì
懋	be great/exert the mind	mào
飕	blow (as of wind)/sound of wind	sōu
唰		shuā
簪	hairpin	zān
捱	dawdle/suffer	ái
浣	to wash/to rinse/10 day period in the month (during Tang dynasty)	huàn
茁	increase/sprout	zhuó
涞	brook/ripple	lái
诨	jest/nickname	hùn
觐		jìn
倌	a groom	guān
螳	praying mantis	táng
壹	one (alternate form of 一 used on checks)	yī
斛	5 pecks (M)	hú
饕	gluttonous	tāo
唑	(phonetic)/-z + ole (chem.)	zuò
酯	ester	zhǐ
鱿	cuttlefish	yóu
霾	dust-storm	mái
蜇	to sting, jellyfish	zhē/zhé
奘	great, fat/stout	zàng/zhuǎng
闱	door to women's room/gate to palace	wéi
泅	submerge/swim under water	qiú
魇	nightmare	yǎn
宓	(surname)/still/silent	mì
谖	Hemerocallis flava/false/forget	xuān
燮	(surname)/harmony/harmonize	xiè
镳	darts/escort/horsebit	biāo
怵	fearful/timid/to fear	chù
唏	sound of sobbing	xī
辔	bridle/reins	pèi
刍	(surname)/cut grass/hay/straw/fodder	chú
皙	white	xī
叵	not/thereupon	pǒ
滂	rushing (water)	pāng
纾	slow/to free from	shū
嗑	to crack (seeds) with front teeth	kè/kē
酚	phenol	fēn
嘹	clear sound/cry (of cranes etc.)	liáo
迳	way/path/direct/diameter	jìng
淼	a flood/infinity	miǎo
菠	spinach	bō
烯	alkene	xī
瞭		liǎo
烨	blaze of fire/glorious	yè
碇	anchor	dìng
窕	quiet and elegant	tiǎo
芾	small, luxuriance of vegetation	fèi/fú
崴	high, lofty/precipitous	wēi/wǎi
遴	(surname)/select for appointment	lín
绉	crepe/wrinkle	zhòu
酢	toast to host by guest	zuò
闼	door of an inner room	tà
濯	rinse/to cleanse	zhuó
盥	wash (especially hands)	guàn
匦	small box	guǐ
窸		xī
荥	place name	xíng/yíng
峁		mǎo
煲	pot or saucepan/to boil/cook or heat	bāo
唁	condole with	yàn
裟	Buddhist monk's robe	shā
贲	energetic, bright	bēn/bì
蓖	the castor-oil plant	bì
矸		gān
榫	tenon and mortise	sǔn
鍪	iron pot/metal cap	móu
祚	blessing/the throne	zuò
戕		qiāng
昶	bright/long day	chǎng
鲆		píng
隗	(surname)/eminent/lofty	wěi
蚝		háo
郢	name of an ancient city	yǐng
嬗	changes and succession	shàn
澧	(surname)/name of a river	lǐ
吡		bǐ
痤	acne	cuó
怩	shy, timid, bashful/look ashame	ní
粽	rice dumplings wrapped in leaves	zòng
邝	(surname)	kuàng
诹	choose/consult	zōu
浃		jiā
郧	name of a feudal state	yún
毖	careful/prevent	bì
毂	wheel, hub of wheel	gū/gǔ
茯	Pachyma cocos/china root	fú
嗪		qín
妲	concubine of last Shang emperor	dá
麂	Moschus chinensis	jǐ
芨	Bletilla hyacinthina (mucilaginous)/Acronym for the Chinese Elder tree ?草	jí/jī
铣	shining metal	xiǎn/xǐ
鸨	Chinese bustard/procuress	bǎo
啭	sing, chirp, warble, twitter	zhuàn
痈	carbuncle	yōng
間		jiān
茏	Polygonum posumbu	lóng
庾	(surname)/name of a mountain	yǔ
梏	braces (med.)/fetters/manacles	gù
镉	cadmium	gé
變		biàn
喑	dumb	yīn
陰		yīn
赜	mysterious	zé
疥	scabies	jiè
蔫	fade/wither	niān
俎	a stand for food at sacrifice	zǔ
徭	compulsory service	yáo
龉	irregular teeth	yǔ
颢	bright/white	hào
笫	planks of bed/sleeping-mat	zǐ
砝		fǎ
泱	agitated (wind, cloud)/boundless	yāng
胴	large intestine/torso	dòng
铂	platinum	bó
鏖	violent fighting	áo
槭		qì
咩	the bleating of sheep	miē
燧	fire/speculum	suì
纥	knot, tassels	gē/hé
恽	(surname)	yùn
淝	name of a river	féi
腱	gristle	jiàn
孱	dodger, coward/weak	càn/chán
铩	spear	shā
虢	name of an ancient state	guó
鼹	mole	yǎn
酊	intoxicated	dǐng
旖	fluttering of flag	yǐ
嗲		diǎ
揿	to press (bell)	qìn
栎	oak/Quercus serrata	lì
飚		biāo
壅	obstruct/stop up	yōng
忝	to shame	tiǎn
婕	handsome	jié
鹘	falcon/migratory bird	hú/gǔ
螫	to sting, to sting	shì/zhē
翦	cut with scissors/scissors	jiǎn
幄	tent	wò
杼	shuttle of a loom	zhù
鲎	king crab	hòu
秣	feed a horse with grain/horse feed	mò
岷	name of a river in Sichuan	mín
酆	(surname)/name of an ancient city	fēng
湟	name of a river	huáng
褓	cloth for carrying baby on back	bǎo
辇	emperor's carriage	niǎn
愎	perverse/obstinate	bì
烩	cooked in soy and vinegar	huì
甑	caldron/rice pot	zèng
瓤	pulp of fruit	ráng
抟	roll round with hand	tuán
蠼		qú
噔		dēng
舸	barge	gě
僖	(surname)/cautious/merry/joyful	xī
爻	lines on a trigram	yáo
耦	pair/mate/ploughshare	ǒu
馏	reheat by steaming	liù/liú
質		zhì
岫	cave/mountain peak	xiù
艄	stern of boat	shāo
兖	place name	yǎn
莅	attend (official functions)	lì
麒	mythical unicorn	qí
绌	crimson silk/deficiency/to stitch	chù
烊	molten/smelt	yáng
氅	overcoat	chǎng
羿	name of a famous archer	yì
蹴	carefully/kick/tread on/stamp	cù
撷	collect	xié
诂	comment/explain	gǔ
豕	hog/swine	shǐ
孑	alone/mosquito larvae/small	jié
礴	fill/extend	bó
媸	ugly woman	chī
珏	gems mounted together	jué
砺	grind/sandstone	lì
臁		lián
炜	glow/raging fire	wěi
谲	deceitful	jué
黃		huáng
佘	(surname)	shé
艿		nǎi
聒		guō
倜	energetic/exalted/magnanimous	tì
笏	tablet held at an audience	hù
哂	smile	shěn
佝		gōu
罅	crack/grudge	xià
啶	Err:508	dìng
哐		kuāng
硎	whetstone	xíng
渌	clear (water)/strain liquids	lù
俳	irresolute/not serious/variety show	pái
嬷	ma/mamma	mā/mó
灏	vast (of water)	hào
弑	murder a superior	shì
篾	bamboo splints for baskets	miè
胝	callous	zhī
薏	Coix lacryma	yì
忾	anger	kài
鲟	acipenser sp./sturgeon	xún
颀	tall	qí
苣	(lettuce)	jù
麋	(surname)/moose/river bank	mí
孳	industrious/produce/bear	zī
铉	stand for bronze tripod (archeol.)/used in names, e.g. 卢武铉 President Loh Roh Mu-hyun of South Korea	xuàn
鼐	incense tripod	nài
趄	hesitate/mark time, recline	jū/qiè
钨	tungsten	wū
鏡		jìng
铨	estimate/select	quán
遨	make excursion/ramble/travel	áo
闶		kāng
驗		yàn
霰	sleet	xiàn
見		jiàn
阕	section of a song/shut	què
邈	profound/remote	miǎo
涔	overflow/rainwater/tearful	cén
鲂	bream/Zeus japanicus	fáng
泸	name of a river/place name	lú
昕	dawn	xīn
醴	sweet wine	lǐ
飨	offer or enjoy sacrifice	xiǎng
剐	cut off the flesh as punishment	guǎ
氤	generative forces/magic emanation	yīn
楹	pillar	yíng
噘	pout	juē
開		kāi
胪	belly/skin/to state	lú
妍	beautiful	yán
衮	imperial robe	gǔn
龃	irregular/uneven teeth	jǔ
诌	make up (a story)	zōu/zhōu
缂	to woof	kè
晗		hán
笕	bamboo water pipe	jiǎn
慵	careless	yōng
悌	do one's duty as a younger brother	tì
赭	ocher	zhě
鸢	kite	yuān
杵	pestle/to poke	chǔ
遢	careless, negligent, slipshod	tà/tā
缛	adorned/beautiful	rù
咿	(onomat.)	yī
颦	knit the brows	pín
蹇	(surname)/difficulty/lame	jiǎn
膘	fat of a stock animal	biāo
嘣		bēng
囡	one's daughter/to filch/to secrete	nān
骞	defective/raise	qiān
謇	speak out boldly	jiǎn
稗	millet/Panicum crus	bài
逡	shrink from	qūn
峥	excel/lofty	zhēng
羟	hydroxyl (radical)	qiǎng
黍	broomcorn millet/glutinous millet	shǔ
棂	lattice, the lattice of a window a sill, a lintel	líng
稹	accumulate/fine and close	zhěn
傥	if/unexpectedly	tǎng
讣	obituary notice	fù
娣	wife of a younger brother	dì
懔	fear	lǐn
俣	big	yǔ
诓	mislead/to swindle	kuāng
苜	clover	mù
炔	alkyne	quē/guì
锷	blade edge/sharp	è
較		jiào
邋		lā
缢	hang/strangle oneself	yì
